Fruit,Quantity_kg,Price_per_kg_in_USD,Farmer_Name,Customer_Name
Apple,97,1.15,John Smith,John Hayes
Orange,,2.83,John Smith,Mary Casteel
Banana,,2.16,John Smith,April Lewis
Grape,81,1.56,John Smith,David Burges
Pear,140,1.09,John Smith,George Redden
Apple,135,1.16,John Smith,Andrea Roloff
Orange,,1.72,John Smith,Audrey Dolan
Banana,132,1.78,John Smith,Christopher Robinson
Grape,53,2.03,John Smith,Melinda Sweet
Pear,118,1.48,John Smith,Amy Bagley
Apple,131,1.57,John Smith,James Ayers
Orange,,2.62,John Smith,Joseph Najera
Banana,125,2.5,John Smith,Michael Suiter
Grape,61,1.78,John Smith,Anthony Creager
Pear,71,1.33,John Smith,Maurice Ford
Apple,59,2.29,John Smith,Ellsworth Carbajal
Orange,148,1.26,John Smith,Martin Gibson
Banana,122,2.12,John Smith,Drew Stewart
Grape,95,1.85,John Smith,Tony Hoffman
Pear,,1.58,John Smith,Rich Lupu
Apple,59,2.54,John Smith,May Helbling
Orange,99,2.52,John Smith,Renee Bruce
Banana,54,2.92,John Smith,Connie Whorton
Grape,138,,John Smith,Terrence Dalley
Pear,101,2.58,John Smith,Jerry Taylor
Apple,91,1.51,John Smith,Amber Johnson
Orange,90,1.86,John Smith,Kathleen Parker
Banana,121,2.55,John Smith,Brian Ugalde
Grape,67,,John Smith,Scott Valdivia
Pear,129,1.6,John Smith,Maria Bradley
Apple,,,John Smith,Kerry Vizza
Orange,68,1.43,John Smith,Elizabeth Mancha
Banana,143,,John Smith,Junior Hoyt
Grape,50,2.81,John Smith,Evelyn Patterson
Pear,127,2.12,John Smith,Alice Ivy
Apple,64,2.33,John Smith,Keisha Oglesby
Orange,138,1.17,John Smith,Patrick Casas
Banana,67,1.89,John Smith,Dennis Cecere
Grape,,2.92,John Smith,Bonnie Stewart
Pear,100,2.13,John Smith,Keith Vulich
Apple,,2.71,John Smith,Ashley Bennett
Orange,103,1.4,John Smith,Barbara Alleman
Banana,,2.34,John Smith,Mary Merino
Grape,145,2.68,John Smith,Carolann Quezada
Pear,111,2.39,John Smith,Kristan Harris
Apple,121,2.31,John Smith,Cedric Rimmer
Orange,126,1.75,John Smith,Michael Waymire
Banana,80,2.77,John Smith,Emily Schmiedeskamp
Grape,70,,John Smith,Shondra Powell
Pear,129,1.53,John Smith,Travis Williams
Apple,51,2.48,John Smith,Van Jurasek
Orange,,2.62,John Smith,Robin Boblitt
Banana,143,2.38,John Smith,Corina Wilson
Grape,54,1.58,John Smith,Daniel Ford
Pear,57,1.96,John Smith,Brian Navarro
Apple,83,2.69,John Smith,Katrina Siler
Orange,77,2.7,John Smith,Marjorie Alexander
Banana,116,1.75,John Smith,James Gilmore
Grape,,1.77,John Smith,Kelsey Rieben
Pear,63,1.16,John Smith,Thomas Gambrill
Apple,,2.62,John Smith,Kevin Dupre
Orange,,2.35,John Smith,John Heard
Banana,57,1.47,John Smith,Timothy Dean
Grape,142,1.73,John Smith,Katherine Torres
Pear,88,2.68,John Smith,Maria Clark
Apple,71,,John Smith,Johnnie Balde
Orange,,2.84,John Smith,Jewell Abbott
Banana,89,1.6,John Smith,Helen Yarborough
Grape,120,2.94,John Smith,Delmar Benoit
Pear,,1.17,John Smith,James Lai
Apple,139,2.12,John Smith,Jeremy Caughlin
Orange,,2.89,John Smith,David Malik
Banana,80,2.31,John Smith,Michael Roque
Grape,,2.72,John Smith,Jeffrey Anderson
Pear,127,1.71,John Smith,Amy Garretson
Apple,90,1.7,John Smith,Marion Calvert
Orange,126,2.08,John Smith,Gladys Deeds
Banana,64,1.95,John Smith,Jerry Clow
Grape,105,1.83,John Smith,Hazel Ivy
Pear,58,1.04,John Smith,Bill Woods
Apple,97,1.85,John Smith,Leo Fitzgerald
Orange,51,,John Smith,William Samuel
Banana,63,2.45,John Smith,Paul Sanborn
Grape,130,2.26,John Smith,Elinor Steckler
Pear,,2.24,John Smith,Elizabeth Reyes
Apple,91,1.6,John Smith,Suzanne Martinez
Orange,137,1.12,John Smith,Debora Cantor
Banana,79,1.5,John Smith,Margaret Griffin
Grape,94,2.74,John Smith,David Santiago
Pear,,,John Smith,James Kerr
Apple,102,1.44,John Smith,Sherry Blay
Orange,130,1.05,John Smith,Ruth Michael
Banana,118,2.86,John Smith,Jessie Liberti
Grape,121,1.91,John Smith,Edward Dage
Pear,116,2.22,John Smith,Helen Tennyson
Apple,,1.16,John Smith,Samantha Gilleland
Orange,,,John Smith,Chung James
Banana,,2.19,John Smith,Richard Stapleton
Grape,107,1.04,John Smith,Evelyn Gottlieb
Pear,129,1.05,John Smith,Amy Fox
Apple,56,1.21,John Smith,Jerry Mcbride
Orange,,1.79,John Smith,Betty Felker
Banana,117,1.46,John Smith,Christopher Love
Grape,93,1.8,John Smith,Bessie Lanier
Pear,,,John Smith,Guadalupe Jackson
Apple,96,1.95,John Smith,Kris Olson
Orange,,1.47,John Smith,Kim Williams
Banana,102,,John Smith,Kathryn Janas
Grape,99,,John Smith,Ivan Crotty
Pear,135,1.91,John Smith,Sherry Vento
Apple,69,,John Smith,Mark Moore
Orange,,1.14,John Smith,Tabitha Sapp
Banana,78,1.5,John Smith,Ebony Boeke
Grape,103,2.85,John Smith,John Joyce
Pear,105,1.16,John Smith,Christopher Nava
Apple,,1.85,John Smith,Carl Yanez
Orange,78,2.1,John Smith,Jose Wilks
Banana,111,1.58,John Smith,Victor Pugliese
Grape,86,1.83,John Smith,Maria Scott
Pear,,1.86,John Smith,Kenneth Spielman
Apple,131,2.51,John Smith,Nell Burns
Orange,97,1.73,John Smith,Eduardo Moss
Banana,127,2.49,John Smith,Robert Cherry
Grape,146,2.66,John Smith,Brian Adkins
Pear,78,1.43,John Smith,Karen Nicola
Apple,62,1.5,John Smith,Carla Kaul
Orange,,2.59,John Smith,Guadalupe Cooper
Banana,,1.72,John Smith,Joann Hawkins
Grape,81,1.17,John Smith,Patricia Mcclendon
Pear,67,1.43,John Smith,Amy George
Apple,145,1.03,John Smith,Sharon Mclanahan
Orange,,2.45,John Smith,Paul Keller
Banana,139,2.67,John Smith,Carl Yu
Grape,,2.19,John Smith,Alisha Broome
Pear,,1.41,John Smith,Katherine Sullivan
Apple,149,2.17,John Smith,Rosie Butler
Orange,,1.56,John Smith,Joelle Montes
Banana,84,1.81,John Smith,Ernest Lane
Grape,73,2.32,John Smith,Vera Perdue
Pear,,2.51,John Smith,Kathleen Gray
Apple,86,2.37,John Smith,John Schrunk
Orange,86,1.79,John Smith,Joseph Thornley
Banana,116,1.13,John Smith,William Torres
Grape,,1.21,John Smith,Stephanie Schick
Pear,134,1.79,John Smith,Diana Garcia
Apple,,2.67,John Smith,Matilda Lema
Orange,81,1.63,John Smith,Elizabeth Rodriguez
Banana,129,1.07,John Smith,Rebecca Hale
Grape,138,1.41,John Smith,Nellie Smith
Pear,81,,John Smith,Elizabeth Schaal
Apple,100,1.52,John Smith,Gloria Washington
Orange,97,1.85,John Smith,Edna Olson
Banana,101,,John Smith,William Meyer
Grape,108,2.4,John Smith,John Schultz
Pear,72,1.88,John Smith,Judith Wall
Apple,118,,John Smith,Amelia Wingfield
